TrackID,Lane,Frame,EpochTime
1102,1,5549,1757356791.0252864
1130,2,5562,1757356792.7929394
1175,1,5562,1757356792.7939398
1136,2,5621,1757356800.8823657
1200,1,5627,1757356801.811495
1215,1,5671,1757356806.7050898
1194,1,5675,1757356807.093139
1239,3,5696,1757356809.0696383
1230,1,5736,1757356813.0775433
1198,1,5754,1757356814.8278058
1217,1,5806,1757356820.183071
1247,1,5846,1757356824.368485
1282,3,5849,1757356824.7000933
1229,2,5852,1757356825.0133407
1269,1,5898,1757356829.6719127
1313,3,5898,1757356829.6719127
1226,1,5927,1757356832.4697373
1271,1,5935,1757356833.4700716
1338,3,5940,1757356834.0185091
1344,1,5980,1757356838.7719722
1323,1,5991,1757356839.9489493
1196,2,6029,1757356845.0665445
1336,1,6029,1757356845.0665445
1332,1,6034,1757356845.627201
1359,1,6076,1757356850.6335175
1331,1,6098,1757356853.198308
1250,2,6142,1757356860.5135598
1377,1,6172,1757356865.845663
1368,1,6179,1757356867.466161
1386,1,6219,1757356873.5909643
1381,2,6222,1757356874.0245724
1367,1,6258,1757356879.6289253
1396,1,6301,1757356886.7054882
1390,1,6313,1757356888.7492974
1435,3,6324,1757356890.4115117
1432,1,6355,1757356895.1137693
1413,1,6366,1757356896.7456093
1454,3,6379,1757356898.7176569
1420,1,6412,1757356903.9066637
1425,1,6432,1757356906.964157
1448,1,6445,1757356908.8977578
1392,2,6463,1757356911.578695
1451,1,6480,1757356914.115909
1471,1,6485,1757356914.8599315
1455,1,6529,1757356921.19723
1461,1,6572,1757356927.4834037
1509,3,6579,1757356928.547891
1477,2,6588,1757356929.8536348
1402,2,6668,1757356941.6332493
1521,2,6734,1757356952.047153
1560,1,6764,1757356956.410632
1424,2,6830,1757356965.9362648
1573,3,6832,1757356966.2094414
1540,1,6892,1757356974.9180236
1570,2,6897,1757356975.6511288
1584,1,6899,1757356975.9559062
1574,1,6950,1757356983.3282402
1544,2,6965,1757356985.4737291
1585,2,7025,1757356993.9283779
1593,1,7048,1757356997.1476922
1577,2,7108,1757357005.7104816
1599,1,7126,1757357008.2454622
1602,1,7191,1757357015.5682392
1590,2,7218,1757357017.9734857
1608,1,7259,1757357021.8362
1611,1,7277,1757357023.6454232
1621,3,7289,1757357024.839157
1615,1,7336,1757357029.9088538
1630,3,7360,1757357032.0098946
1619,1,7375,1757357033.3103957
1629,1,7425,1757357037.598633
1640,3,7427,1757357037.7703993
1628,1,7438,1757357038.9906106
1635,1,7511,1757357045.4074817
1598,2,7532,1757357047.2082508
1660,1,7550,1757357048.75173
1656,1,7572,1757357050.600637
1670,1,7599,1757357052.9354362
1666,1,7603,1757357053.2726772
1691,3,7624,1757357055.0762079
1675,1,7644,1757357056.7755141
1663,1,7657,1757357057.8665555
1725,1,7714,1757357062.6241593
1617,2,7719,1757357063.0532854
1713,1,7755,1757357066.0473828
1705,1,7772,1757357067.468074
1720,1,7835,1757357072.9072301
1735,1,7873,1757357076.147558
1760,1,7898,1757357078.308596
1764,3,7906,1757357079.0018477
1765,1,7923,1757357080.470922
1745,1,7939,1757357081.8426063
1750,1,7961,1757357083.691727
1742,2,7990,1757357086.123729
1752,1,8001,1757357087.0344932
1783,1,8061,1757357092.0654602
1753,2,8084,1757357093.9645157
1787,1,8147,1757357099.332321
1842,1,8182,1757357102.245388
1786,2,8183,1757357102.3272617
1827,1,8185,1757357102.5004313
1831,1,8208,1757357104.4237702
1835,1,8239,1757357106.999697
1807,2,8241,1757357107.181785
1844,1,8273,1757357109.8308551
1856,1,8329,1757357114.4793794
1855,1,8357,1757357116.8239074
1868,1,8385,1757357119.1754987
1858,2,8391,1757357119.6757646
1875,1,8422,1757357122.3928814
1867,2,8447,1757357124.834201
1881,1,8455,1757357125.526854
1887,1,8467,1757357126.5820723
1907,1,8497,1757357129.2165644
1877,2,8499,1757357129.390107
1913,1,8501,1757357129.5587363
1924,1,8539,1757357132.8190014
1914,1,8558,1757357134.416308
1880,2,8571,1757357135.527019
1941,1,8613,1757357139.446592
1954,2,8632,1757357141.3174653
1945,1,8651,1757357143.184877
1950,1,8656,1757357143.6966
1916,2,8678,1757357145.882976
1986,3,8773,1757357154.92748
1989,1,8796,1757357157.0906088
1973,1,8817,1757357159.0934403
1960,2,8867,1757357163.9206493
1983,1,8872,1757357164.4097705
2003,1,8908,1757357167.9239616
2006,1,8950,1757357172.071847
2011,1,9007,1757357177.733209
2009,1,9027,1757357179.7329242
2022,1,9046,1757357181.766119
2005,2,9048,1757357181.9598157
2045,3,9056,1757357182.783854
2054,1,9157,1757357193.0829408
2078,3,9173,1757357194.6396453
2028,2,9180,1757357195.3087757
